종목명,현재가,기준월,배당금,수익률(%),배당성향(%)
하이트진로홀딩스우,"16,350",19.12,400,2.45,-35.86
250,,,,,
200,,,,,
250,,,,,
티에이치엔,"2,460",19.12,60,2.44,6.26
50,,,,,
50,,,,,
55,,,,,
삼영무역,"13,750",19.12,334,2.43,16.8
268,,,,,
245,,,,,
245,,,,,
한국프랜지,"2,060",19.12,50,2.43,13.41
0,,,,,
0,,,,,
50,,,,,
동서,"28,850",19.12,700,2.43,50.44
700,,,,,
700,,,,,
670,,,,,
LS전선아시아,"7,430",19.12,180,2.42,34.4
160,,,,,
160,,,,,
150,,,,,
한국종합기술,"4,175",19.12,100,2.39,-30.79
100,,,,,
100,,,,,
100,,,,,
삼성전자,"59,400",19.12,"1,416",2.38,44.73
"1,416",,,,,
850,,,,,
570,,,,,
현대글로비스,"147,000",19.12,"3,500",2.38,26.13
"3,300",,,,,
"3,000",,,,,
"3,000",,,,,
한미글로벌,"8,420",19.12,200,2.38,8.93
200,,,,,
250,,,,,
300,,,,,
KISCO홀딩스,"11,800",19.12,280,2.37,9.62
280,,,,,
250,,,,,
180,,,,,
아시아나IDT,"21,100",19.12,500,2.37,-68.93
500,,,,,
500,,,,,
0,,,,,
한국주철관,"8,470",20.03,200,2.36,34.21
200,,,,,
200,,,,,
200,,,,,
아세아제지,"25,450",19.12,600,2.36,8.75
750,,,,,
450,,,,,
500,,,,,
서연이화,"4,255",19.12,100,2.35,-5.81
100,,,,,
150,,,,,
150,,,,,
인팩,"5,120",19.12,120,2.34,-19.45
130,,,,,
130,,,,,
150,,,,,
노루홀딩스우,"17,300",19.12,405,2.34,91.14
455,,,,,
455,,,,,
455,,,,,
코오롱인더,"38,750",19.12,900,2.32,82.84
900,,,,,
"1,100",,,,,
"1,100",,,,,
광전자,"2,170",19.12,50,2.3,74.21
50,,,,,
50,,,,,
0,,,,,
아세아,"76,100",19.12,"1,750",2.3,6.9
"1,750",,,,,
"1,500",,,,,
"1,500",,,,,
CJ,"81,300",19.12,"1,850",2.28,23.26
"1,450",,,,,
"1,450",,,,,
"1,350",,,,,
한농화성,"6,590",19.12,150,2.28,22.99
120,,,,,
140,,,,,
110,,,,,
기아차,"50,600",19.12,"1,150",2.27,25.24
900,,,,,
800,,,,,
"1,100",,,,,
LG전자우,"35,200",19.12,800,2.27,434.42
800,,,,,
450,,,,,
450,,,,,
세아제강,"88,300",19.12,"2,000",2.27,22.83
"1,800",,,,,
-,,,,,
-,,,,,
대상,"26,700",19.12,600,2.25,20.17
550,,,,,
500,,,,,
400,,,,,
신송홀딩스,"3,580",19.12,80,2.23,-2.75
0,,,,,
0,,,,,
80,,,,,
서울가스,"78,300",19.12,"1,750",2.23,23.3
"1,750",,,,,
"1,750",,,,,
"1,750",,,,,
코오롱,"22,400",19.12,500,2.23,-40.51
500,,,,,
500,,,,,
500,,,,,
GS리테일,"33,600",19.12,750,2.23,43.38
650,,,,,
600,,,,,
"1,100",,,,,
NI스틸,"2,250",19.12,50,2.22,22.28
50,,,,,
50,,,,,
50,,,,,
삼양사우,"47,350",19.12,"1,050",2.22,29.66
"1,550",,,,,
"1,300",,,,,
"1,550",,,,,
WISCOM,"2,255",19.12,50,2.22,71.22
0,,,,,
0,,,,,
98,,,,,
모토닉,"13,550",19.12,300,2.21,58.14
300,,,,,
350,,,,,
250,,,,,
신흥,"9,080",19.12,200,2.2,56.03
200,,,,,
200,,,,,
200,,,,,
광주신세계,"159,000",19.12,"3,500",2.2,11.68
"3,000",,,,,
"1,250",,,,,
"1,250",,,,,
두올,"3,640",19.12,80,2.2,21.49
80,,,,,
67,,,,,
77,,,,,
백산,"4,560",19.12,100,2.19,34.68
100,,,,,
100,,,,,
90,,,,,
일신방직,"68,800",19.12,"1,500",2.18,48.46
"2,000",,,,,
"1,500",,,,,
"2,800",,,,,
신한알파리츠,"6,800",20.03,148,2.18,152.02
112,,,,,
0,,,,,
-,,,,,
CJ제일제당 우,"163,000",19.12,"3,550",2.18,36.81
"3,550",,,,,
"3,050",,,,,
"2,550",,,,,
BGF리테일,"124,000",19.12,"2,700",2.18,30.81
"2,680",,,,,
"1,000",,,,,
-,,,,,
태원물산,"3,950",19.12,85,2.15,115.72
70,,,,,
80,,,,,
100,,,,,
현대차,"186,000",19.12,"4,000",2.15,35.35
"4,000",,,,,
"4,000",,,,,
"4,000",,,,,
애경산업,"21,000",19.12,450,2.14,28.54
450,,,,,
350,,,,,
200,,,,,
HDC현대EP,"5,620",19.12,120,2.13,26.33
60,,,,,
120,,,,,
140,,,,,
성신양회,"7,030",19.12,150,2.13,21.59
150,,,,,
0,,,,,
0,,,,,
삼성물산우B,"96,200",19.12,"2,050",2.13,31.42
"2,050",,,,,
"2,050",,,,,
600,,,,,
백광산업,"3,525",19.12,75,2.13,20.1
50,,,,,
25,,,,,
0,,,,,
쌍용양회우,"20,300",19.12,430,2.12,161.94
380,,,,,
224,,,,,
42,,,,,
영풍,"472,500",19.12,"10,000",2.12,7.38
"10,000",,,,,
"10,000",,,,,
"10,000",,,,,
SK이노베이션,"142,000",19.12,"3,000",2.11,-740.62
"8,000",,,,,
"8,000",,,,,
"6,400",,,,,
동원시스템즈,"23,700",19.12,500,2.11,33.69
500,,,,,
500,,,,,
250,,,,,
무림페이퍼,"2,380",19.12,50,2.1,-21.64
50,,,,,
25,,,,,
0,,,,,
노루페인트우,"13,600",19.12,280,2.06,29.79
255,,,,,
255,,,,,
205,,,,,
HDC현대산업개발,"21,400",19.12,438,2.05,5.31
438,,,,,
-,,,,,
-,,,,,
방림,"1,960",19.09,40,2.04,27.71
58,,,,,
52,,,,,
38,,,,,
LS ELECTRIC,"59,200",19.12,"1,200",2.03,33.88
"1,200",,,,,
"1,100",,,,,
800,,,,,
한국테크놀로지그룹,"17,350",19.12,350,2.02,21.21
300,,,,,
300,,,,,
300,,,,,
하이트진로홀딩스,"17,450",19.12,350,2.01,-35.86
200,,,,,
150,,,,,
200,,,,,
한솔로지스틱스,"1,995",19.12,40,2.01,18.6
30,,,,,
24,,,,,
16,,,,,
키움증권,"100,000",19.12,"2,000",2,15.92
"1,500",,,,,
"1,300",,,,,
850,,,,,
대상홀딩스,"10,050",19.12,200,1.99,10.29
190,,,,,
180,,,,,
170,,,,,
환인제약,"15,200",19.12,300,1.97,24.5
300,,,,,
300,,,,,
250,,,,,
넥센,"4,060",19.12,80,1.97,7.61
75,,,,,
75,,,,,
75,,,,,
부산가스,"50,900",19.12,"1,000",1.97,20.44
500,,,,,
500,,,,,
500,,,,,
동양피스톤,"6,130",19.12,120,1.96,15.62
120,,,,,
100,,,,,
0,,,,,
일진홀딩스,"5,130",19.12,100,1.95,36.49
70,,,,,
0,,,,,
30,,,,,
현대건설,"30,950",19.12,600,1.94,16.41
500,,,,,
500,,,,,
500,,,,,
한화생명,"1,555",19.12,30,1.93,22.45
100,,,,,
140,,,,,
80,,,,,
유진투자증권,"3,640",19.12,70,1.92,16.4
60,,,,,
0,,,,,
0,,,,,
동원시스템즈우,"28,600",19.12,550,1.92,33.69
550,,,,,
550,,,,,
300,,,,,
롯데정보통신,"36,500",19.12,700,1.92,19.4
650,,,,,
0,,,,,
-,,,,,
LG상사,"15,650",19.12,300,1.92,40.59
250,,,,,
250,,,,,
250,,,,,
LG헬로비전,"3,930",19.12,75,1.91,-6.16
75,,,,,
75,,,,,
75,,,,,
효성ITX,"26,250",19.12,500,1.9,55.68
500,,,,,
500,,,,,
200,,,,,
넥센타이어,"5,530",19.12,105,1.9,9.14
100,,,,,
100,,,,,
100,,,,,
하나제약,"24,250",19.12,460,1.9,25.56
280,,,,,
248,,,,,
105,,,,,
삼성물산,"105,500",19.12,"2,000",1.9,31.42
"2,000",,,,,
"2,000",,,,,
550,,,,,
LIG넥스원,"31,850",19.12,600,1.88,414.4
500,,,,,
500,,,,,
940,,,,,
롯데지주우,"61,100",19.12,"1,150",1.88,-21.89
850,,,,,
0,,,,,
0,,,,,
휴비스,"7,980",19.12,150,1.88,"-1,753.18"
300,,,,,
300,,,,,
300,,,,,
HDC,"10,650",19.12,200,1.88,4.48
150,,,,,
"1,000",,,,,
700,,,,,
한전기술,"16,600",19.12,310,1.87,44.68
140,,,,,
220,,,,,
110,,,,,
롯데리츠,"5,170",19.12,96,1.86,156.76
-,,,,,
-,,,,,
-,,,,,
경동인베스트,"26,950",19.12,500,1.86,12.4
500,,,,,
500,,,,,
"1,250",,,,,
금강공업,"4,320",19.12,80,1.85,-20.11
100,,,,,
100,,,,,
100,,,,,
이구산업,"1,625",19.12,30,1.85,-29.86
0,,,,,
80,,,,,
50,,,,,
문배철강,"2,720",19.12,50,1.84,41.3
50,,,,,
50,,,,,
50,,,,,
하이트진로,"38,300",19.12,700,1.83,-115.48
800,,,,,
800,,,,,
900,,,,,
삼성전기우,"62,900",19.12,"1,150",1.83,16.19
"1,050",,,,,
800,,,,,
550,,,,,
다우기술,"21,900",19.12,400,1.83,9.34
350,,,,,
300,,,,,
250,,,,,
미원에스씨,"94,100",19.12,"1,700",1.81,22.63
"1,200",,,,,
500,,,,,
-,,,,,
세방,"9,720",19.12,175,1.8,72.68
175,,,,,
175,,,,,
175,,,,,
KCTC,"2,505",19.12,45,1.8,18.86
45,,,,,
35,,,,,
35,,,,,
디와이파워,"11,150",19.12,200,1.79,11.57
200,,,,,
180,,,,,
120,,,,,
세방전지,"27,950",19.12,500,1.79,8.77
500,,,,,
400,,,,,
350,,,,,
삼양사,"56,000",19.12,"1,000",1.79,29.66
"1,500",,,,,
"1,250",,,,,
"1,500",,,,,
SPC삼립,"62,300",19.12,"1,104",1.77,29.22
"1,004",,,,,
956,,,,,
956,,,,,
핸즈코퍼레이션,"7,340",19.12,130,1.77,30.69
100,,,,,
100,,,,,
178,,,,,
태경케미컬,"8,500",19.12,150,1.76,17.46
150,,,,,
150,,,,,
150,,,,,
미원화학,"56,700",19.12,"1,000",1.76,14.95
"1,000",,,,,
"1,000",,,,,
"1,000",,,,,
태평양물산,"1,705",19.12,30,1.76,12.45
20,,,,,
0,,,,,
0,,,,,
해성디에스,"20,000",19.12,350,1.75,32.46
300,,,,,
300,,,,,
250,,,,,
현대백화점,"57,300",19.12,"1,000",1.75,11.5
900,,,,,
800,,,,,
700,,,,,
한국항공우주,"23,000",19.12,400,1.74,22.88
200,,,,,
0,,,,,
680,,,,,
아모레퍼시픽우,"57,900",19.12,"1,005",1.74,28.71
"1,185",,,,,
"1,285",,,,,
"1,585",,,,,
동원F&B,"173,000",19.12,"3,000",1.73,17.63
"3,000",,,,,
"2,500",,,,,
"2,500",,,,,
현대에이치씨엔,"3,490",19.12,60,1.72,17.49
60,,,,,
50,,,,,
40,,,,,
한국타이어앤테크놀로지,"32,100",19.12,550,1.71,16.24
450,,,,,
400,,,,,
400,,,,,
코오롱글로벌,"20,450",19.12,350,1.71,18.23
100,,,,,
150,,,,,
150,,,,,
현대모비스,"234,500",19.12,"4,000",1.71,16.37
"4,000",,,,,
"3,500",,,,,
"3,500",,,,,
금호산업우,"32,450",19.12,550,1.7,150.62
550,,,,,
550,,,,,
350,,,,,
해태제과식품,"8,890",19.12,150,1.69,-11.46
150,,,,,
150,,,,,
150,,,,,
코오롱플라스틱,"4,165",19.12,70,1.68,48.95
120,,,,,
120,,,,,
100,,,,,
경농,"13,100",19.12,220,1.68,86.59
250,,,,,
295,,,,,
265,,,,,
화신,"3,000",19.12,50,1.67,24.79
25,,,,,
50,,,,,
100,,,,,
대림건설,"24,100",19.12,400,1.66,6.38
250,,,,,
0,,,,,
0,,,,,
아이에스동서,"42,450",19.12,700,1.65,32.7
"1,200",,,,,
"1,100",,,,,
"1,000",,,,,
DI동일,"89,500",19.12,"1,473",1.65,21.4
"1,447",,,,,
474,,,,,
465,,,,,
일성건설,915,19.12,15,1.64,43.66
0,,,,,
0,,,,,
20,,,,,
이연제약,"21,450",19.12,350,1.63,97.36
500,,,,,
350,,,,,
269,,,,,
현대위아,"42,950",19.12,700,1.63,33.68
600,,,,,
600,,,,,
"1,100",,,,,
KG케미칼,"21,600",19.12,350,1.62,4.66
350,,,,,
350,,,,,
350,,,,,
대림산업,"80,300",19.12,"1,300",1.62,7.57
"1,700",,,,,
"1,000",,,,,
300,,,,,
한솔PNS,"1,550",19.12,25,1.61,16.23
15,,,,,
15,,,,,
15,,,,,
삼양통상,"62,900",19.12,"1,000",1.59,6.46
750,,,,,
750,,,,,
750,,,,,
신영와코루,"95,000",19.12,"1,500",1.58,35.4
"1,500",,,,,
"1,500",,,,,
"2,500",,,,,
풍산,"25,500",19.12,400,1.57,63.6
600,,,,,
800,,,,,
700,,,,,
아모레G우,"19,500",19.12,305,1.56,22.98
315,,,,,
365,,,,,
465,,,,,
한국석유,"97,500",19.12,"1,500",1.54,-12.35
"1,500",,,,,
"2,000",,,,,
"1,500",,,,,
효성티앤씨,"130,000",19.12,"2,000",1.54,9.27
"1,000",,,,,
-,,,,,
-,,,,,
LG생활건강우,"727,000",19.12,"11,050",1.52,23.7
"9,300",,,,,
"9,050",,,,,
"7,550",,,,,
KC그린홀딩스,"3,955",19.12,60,1.52,16.25
80,,,,,
110,,,,,
100,,,,,
DRB동일,"6,630",19.12,100,1.51,21.71
108,,,,,
95,,,,,
74,,,,,
JW홀딩스,"5,800",19.12,87,1.51,-17.33
81,,,,,
70,,,,,
70,,,,,
한섬,"29,900",19.12,450,1.5,11.6
400,,,,,
350,,,,,
300,,,,,
한국단자,"46,600",19.12,700,1.5,22.86
700,,,,,
700,,,,,
700,,,,,
지누스,"83,400",19.12,"1,250",1.5,13.87
0,,,,,
0,,,,,
0,,,,,
조선선재,"100,500",19.12,"1,500",1.49,12.43
"1,500",,,,,
"1,500",,,,,
"1,500",,,,,
한국가스공사,"25,600",19.12,380,1.48,85.91
"1,360",,,,,
0,,,,,
0,,,,,
현대엘리베이,"41,200",19.12,600,1.46,50.46
600,,,,,
333,,,,,
333,,,,,
부국철강,"5,160",19.12,75,1.45,81.59
75,,,,,
75,,,,,
75,,,,,
유유제약1우,"15,250",19.12,220,1.44,32.18
210,,,,,
200,,,,,
190,,,,,
영원무역,"27,850",19.12,400,1.44,10.55
350,,,,,
300,,,,,
250,,,,,
원림,"17,450",19.12,250,1.43,16.52
0,,,,,
250,,,,,
500,,,,,
태영건설,"10,500",19.12,150,1.43,11.7
125,,,,,
90,,,,,
0,,,,,
신세계 I&C,"140,000",19.12,"2,000",1.43,30.71
"1,500",,,,,
"1,000",,,,,
"1,000",,,,,
만도,"38,850",19.12,550,1.42,23.3
500,,,,,
200,,,,,
"1,000",,,,,
황금에스티,"7,080",19.12,100,1.41,5.57
50,,,,,
100,,,,,
75,,,,,
SK디스커버리우,"53,700",19.12,750,1.4,7.95
650,,,,,
800,,,,,
400,,,,,
신세계푸드,"53,800",19.12,750,1.39,66.72
750,,,,,
750,,,,,
600,,,,,
녹십자홀딩스,"23,400",19.12,325,1.39,498.97
250,,,,,
300,,,,,
300,,,,,
삼성에스디에스,"173,000",19.12,"2,400",1.39,25.21
"2,000",,,,,
"2,000",,,,,
750,,,,,
SK증권,725,19.12,10,1.38,14.96
10,,,,,
0,,,,,
0,,,,,
대한유화,"182,000",19.12,"2,500",1.37,14.52
"4,000",,,,,
"4,000",,,,,
"4,000",,,,,
SK디앤디,"43,800",19.12,600,1.37,25.37
600,,,,,
600,,,,,
353,,,,,
이마트,"146,500",19.12,"2,000",1.37,23.06
"2,000",,,,,
"1,750",,,,,
"1,500",,,,,
만호제강,"14,800",20.06,200,1.35,47.84
200,,,,,
150,,,,,
150,,,,,
삼익THK,"11,100",19.12,150,1.35,95.09
300,,,,,
400,,,,,
330,,,,,
한화우,"57,000",19.12,750,1.32,72.88
750,,,,,
650,,,,,
650,,,,,
한익스프레스,"5,380",19.12,70,1.3,14.63
60,,,,,
80,,,,,
70,,,,,
쿠쿠홈시스,"43,050",19.12,560,1.3,4.75
560,,,,,
0,,,,,
-,,,,,
현대비앤지스틸,"7,710",19.12,100,1.3,7
100,,,,,
100,,,,,
100,,,,,
이수페타시스,"4,630",19.12,60,1.3,-2.62
70,,,,,
70,,,,,
100,,,,,
오뚜기,"580,000",19.12,"7,500",1.29,26.27
"7,500",,,,,
"7,000",,,,,
"6,800",,,,,
대성홀딩스,"19,400",19.12,250,1.29,29.88
250,,,,,
250,,,,,
250,,,,,
코스맥스비티아이,"19,400",19.12,250,1.29,598.87
140,,,,,
100,,,,,
200,,,,,
유니퀘스트,"11,650",19.12,150,1.29,15.71
100,,,,,
100,,,,,
80,,,,,
롯데제과,"101,000",19.12,"1,300",1.29,21.9
"1,300",,,,,
280,,,,,
-,,,,,
디아이,"3,900",19.12,50,1.28,221.43
50,,,,,
100,,,,,
50,,,,,
성신양회우,"15,600",19.12,200,1.28,21.59
200,,,,,
0,,,,,
0,,,,,
대한제분,"156,500",19.12,"2,000",1.28,19.36
"2,500",,,,,
"2,000",,,,,
"2,000",,,,,
동아지질,"15,650",19.12,200,1.28,11.87
200,,,,,
200,,,,,
200,,,,,
유유제약,"16,550",19.12,210,1.27,32.18
200,,,,,
190,,,,,
180,,,,,
삼아알미늄,"8,690",19.12,110,1.27,24.43
100,,,,,
55,,,,,
75,,,,,
동양우,"7,130",19.12,90,1.26,"-2,094.47"
100,,,,,
100,,,,,
100,,,,,
NICE,"18,400",19.12,230,1.25,29.83
180,,,,,
130,,,,,
130,,,,,
농심,"320,500",19.12,"4,000",1.25,32.58
"4,000",,,,,
"4,000",,,,,
"4,000",,,,,
대구백화점,"8,060",19.12,100,1.24,-3.89
150,,,,,
200,,,,,
250,,,,,
경인전자,"20,150",19.12,250,1.24,136.84
250,,,,,
250,,,,,
250,,,,,
대원제약,"20,400",19.12,253,1.24,18.45
245,,,,,
234,,,,,
227,,,,,
금호석유,"121,500",19.12,"1,500",1.24,13.87
"1,350",,,,,
"1,000",,,,,
800,,,,,
유니온,"8,150",19.12,100,1.23,-9.25
100,,,,,
200,,,,,
70,,,,,
자이에스앤디,"8,210",19.12,100,1.22,21.54
0,,,,,
0,,,,,
270,,,,,
종근당홀딩스,"107,000",19.12,"1,300",1.22,14.46
"1,300",,,,,
900,,,,,
"1,400",,,,,
코오롱글로벌우,"33,000",19.12,400,1.21,18.23
150,,,,,
200,,,,,
350,,,,,
유니온머티리얼,"4,125",19.12,50,1.21,90.27
35,,,,,
50,,,,,
35,,,,,
한국카본,"9,920",19.12,120,1.21,27.81
100,,,,,
100,,,,,
130,,,,,
SK하이닉스,"82,900",19.12,"1,000",1.21,33.97
"1,500",,,,,
"1,000",,,,,
600,,,,,
SKC,"83,400",19.12,"1,000",1.2,59.32
"1,000",,,,,
900,,,,,
750,,,,,
신대양제지,"52,400",19.12,625,1.19,4.51
750,,,,,
375,,,,,
0,,,,,
현대미포조선,"29,750",19.12,350,1.18,26.21
700,,,,,
0,,,,,
0,,,,,
신일전자,"1,710",19.12,20,1.17,32.78
25,,,,,
20,,,,,
15,,,,,
화승알앤에이,"2,140",19.12,25,1.17,6.65
25,,,,,
25,,,,,
50,,,,,
동양2우B,"13,050",19.12,150,1.15,"-2,094.47"
150,,,,,
150,,,,,
150,,,,,
영풍제지,"3,480",19.12,40,1.15,7.74
40,,,,,
40,,,,,
45,,,,,
경방,"10,900",19.12,125,1.15,7.57
125,,,,,
180,,,,,
180,,,,,
혜인,"5,260",19.12,60,1.14,14.57
30,,,,,
30,,,,,
40,,,,,
엔에스쇼핑,"13,200",19.12,150,1.14,-65.03
150,,,,,
200,,,,,
200,,,,,
사조오양,"8,860",19.12,100,1.13,7.13
50,,,,,
120,,,,,
100,,,,,
한진,"42,300",19.12,476,1.12,-191.61
476,,,,,
381,,,,,
381,,,,,
모나미,"6,230",19.12,70,1.12,-76.03
70,,,,,
70,,,,,
70,,,,,
LG하우시스우,"26,850",19.12,300,1.12,22.02
300,,,,,
"1,850",,,,,
"1,850",,,,,
F&F,"90,500",19.12,"1,000",1.11,13.92
650,,,,,
650,,,,,
350,,,,,
크라운해태홀딩스,"9,140",19.12,100,1.09,-7.32
100,,,,,
100,,,,,
200,,,,,
현대오토에버,"65,200",19.12,710,1.09,26.66
690,,,,,
690,,,,,
690,,,,,
동일산업,"69,100",19.12,750,1.09,43.31
"1,500",,,,,
"1,700",,,,,
"1,200",,,,,
동아에스티,"92,200",19.12,"1,000",1.09,11.9
"1,000",,,,,
500,,,,,
500,,,,,
계양전기,"3,230",19.12,35,1.08,926.59
60,,,,,
55,,,,,
65,,,,,
한샘,"111,000",19.12,"1,200",1.08,49.52
"1,200",,,,,
"1,200",,,,,
"1,100",,,,,
SK디스커버리,"65,100",19.12,700,1.08,7.95
600,,,,,
750,,,,,
350,,,,,
태영건설우,"14,500",19.12,155,1.07,11.7
130,,,,,
95,,,,,
0,,,,,
사조대림,"14,200",19.12,150,1.06,1.34
150,,,,,
150,,,,,
100,,,,,
한국내화,"3,340",19.12,35,1.05,18.23
35,,,,,
25,,,,,
25,,,,,
팜스코,"4,780",19.12,50,1.05,-21.15
50,,,,,
100,,,,,
100,,,,,
드림텍,"15,350",19.12,160,1.04,40.13
0,,,,,
0,,,,,
0,,,,,
송원산업,"14,450",19.12,150,1.04,10.36
160,,,,,
140,,,,,
140,,,,,
케이씨,"24,150",19.12,250,1.03,6.17
220,,,,,
180,,,,,
150,,,,,
일동홀딩스,"9,280",19.12,95,1.03,-4.79
182,,,,,
182,,,,,
136,,,,,
동일고무벨트,"9,590",19.12,98,1.02,16.13
86,,,,,
74,,,,,
72,,,,,
SBS,"14,850",19.12,150,1.01,13.47
0,,,,,
250,,,,,
0,,,,,
한솔케미칼,"150,500",19.12,"1,500",1,19.24
"1,200",,,,,
"1,000",,,,,
"1,000",,,,,
세이브존I&C,"3,060",19.12,30,0.98,5.09
50,,,,,
50,,,,,
30,,,,,
한미반도체,"10,500",19.12,100,0.95,26.08
250,,,,,
240,,,,,
200,,,,,
동원산업,"211,500",19.12,"2,000",0.95,16.41
"3,000",,,,,
"4,000",,,,,
"3,000",,,,,
모나리자,"5,310",19.12,50,0.94,75.2
50,,,,,
100,,,,,
75,,,,,
BYC우,"122,500",19.12,"1,150",0.94,3.34
"1,050",,,,,
900,,,,,
850,,,,,
신세계,"213,000",19.12,"2,000",0.94,3.74
"2,000",,,,,
"1,250",,,,,
"1,250",,,,,
CS홀딩스,"53,500",19.12,500,0.94,5.93
500,,,,,
500,,,,,
500,,,,,
DB하이텍,"37,450",19.12,350,0.94,14.53
250,,,,,
250,,,,,
0,,,,,
JW중외제약,"33,950",19.12,316,0.93,-27.51
310,,,,,
257,,,,,
229,,,,,
선도전기,"2,705",19.12,25,0.92,-20.85
20,,,,,
20,,,,,
20,,,,,
현대리바트,"16,400",19.12,150,0.92,15.5
290,,,,,
100,,,,,
80,,,,,
경보제약,"10,950",19.12,100,0.91,45.23
200,,,,,
250,,,,,
200,,,,,
일성신약,"82,500",19.12,750,0.91,17.12
750,,,,,
750,,,,,
750,,,,,
대동공업,"6,620",19.12,60,0.91,39.99
50,,,,,
60,,,,,
40,,,,,
대창,"1,110",19.12,10,0.9,15.21
30,,,,,
25,,,,,
0,,,,,
삼성공조,"6,680",19.12,60,0.9,10.12
80,,,,,
100,,,,,
90,,,,,
한창제지,"2,260",19.12,20,0.88,16.18
20,,,,,
20,,,,,
0,,,,,
한신기계,"1,705",19.12,15,0.88,29.52
35,,,,,
65,,,,,
65,,,,,
케이씨텍,"22,950",19.12,200,0.87,10.76
270,,,,,
180,,,,,
-,,,,,
DSR제강,"4,625",19.12,40,0.87,8.52
40,,,,,
40,,,,,
40,,,,,
남성,"2,920",19.12,25,0.86,-19.32
25,,,,,
25,,,,,
25,,,,,
CJ제일제당,"412,500",19.12,"3,500",0.85,36.81
"3,500",,,,,
"3,000",,,,,
"2,500",,,,,
한독,"33,100",19.12,275,0.83,10.84
450,,,,,
265,,,,,
125,,,,,
광동제약,"9,660",19.12,80,0.83,13.73
80,,,,,
80,,,,,
80,,,,,
고려산업,"3,650",19.12,30,0.82,16.53
30,,,,,
35,,,,,
30,,,,,
광명전기,"1,855",19.12,15,0.81,8.11
0,,,,,
0,,,,,
0,,,,,
동아쏘시오홀딩스,"127,000",19.12,"1,000",0.79,31.06
"1,000",,,,,
"1,000",,,,,
"1,000",,,,,
삼성전기,"141,500",19.12,"1,100",0.78,16.19
"1,000",,,,,
750,,,,,
500,,,,,
LG전자,"96,500",19.12,750,0.78,434.42
750,,,,,
400,,,,,
400,,,,,
코스맥스,"116,500",19.12,900,0.77,28.41
600,,,,,
300,,,,,
"1,000",,,,,
크라운해태홀딩스우,"13,600",19.12,105,0.77,-7.32
105,,,,,
105,,,,,
205,,,,,
TCC스틸,"3,780",19.12,29,0.77,12.68
78,,,,,
0,,,,,
0,,,,,
삼양식품,"104,500",19.12,800,0.77,10.12
400,,,,,
250,,,,,
150,,,,,
DSR,"6,530",19.12,50,0.77,9.15
50,,,,,
50,,,,,
50,,,,,
미원홀딩스,"53,900",19.12,400,0.74,6.07
400,,,,,
0,,,,,
550,,,,,
현대약품,"6,140",19.11,45,0.73,104.86
45,,,,,
49,,,,,
46,,,,,
신세계인터내셔날,"150,000",19.12,"1,100",0.73,10.62
850,,,,,
600,,,,,
600,,,,,
남양유업우,"143,500",19.12,"1,050",0.73,2.92
"1,050",,,,,
"1,050",,,,,
"1,050",,,,,
LG생활건강,"1,503,000",19.12,"11,000",0.73,23.7
"9,250",,,,,
"9,000",,,,,
"7,500",,,,,
남해화학,"8,260",19.12,60,0.73,17.94
50,,,,,
80,,,,,
45,,,,,
한국콜마홀딩스,"27,050",19.12,195,0.72,9.4
195,,,,,
185,,,,,
155,,,,,
서흥,"56,600",19.12,400,0.71,14.02
350,,,,,
300,,,,,
330,,,,,
한국콜마,"46,750",19.12,330,0.71,25.99
330,,,,,
300,,,,,
250,,,,,
S-Oil우,"32,150",19.12,225,0.7,35.73
775,,,,,
"5,925",,,,,
"6,225",,,,,
경인양행,"7,260",19.12,50,0.69,14.56
50,,,,,
50,,,,,
50,,,,,
인지컨트롤스,"14,850",19.12,100,0.67,-17.56
100,,,,,
150,,,,,
100,,,,,
미원상사,"97,700",19.12,654,0.67,10.64
770,,,,,
0,,,,,
0,,,,,
부광약품,"28,650",19.12,191,0.67,-164.46
147,,,,,
134,,,,,
280,,,,,
엔씨소프트,"789,000",19.12,"5,220",0.66,30.03
"6,050",,,,,
"7,280",,,,,
"3,820",,,,,
삼일제약,"23,100",19.12,150,0.65,116.87
100,,,,,
144,,,,,
144,,,,,
LG화학우,"320,500",19.12,"2,050",0.64,49.02
"6,050",,,,,
"6,050",,,,,
"5,050",,,,,
유유제약2우B,"34,500",19.12,220,0.64,32.18
210,,,,,
200,,,,,
190,,,,,
호텔신라우,"62,900",19.12,400,0.64,7.83
400,,,,,
400,,,,,
400,,,,,
유한양행우,"65,100",19.12,410,0.63,59.44
410,,,,,
410,,,,,
410,,,,,
보령제약,"15,900",19.12,100,0.63,13.05
60,,,,,
160,,,,,
38,,,,,
서연,"7,950",19.12,50,0.63,-1.81
50,,,,,
100,,,,,
150,,,,,
JW중외제약우,"56,000",19.12,348,0.62,-27.51
347,,,,,
297,,,,,
271,,,,,
대원화성,"1,610",19.12,10,0.62,9.59
0,,,,,
0,,,,,
0,,,,,
하이스틸,"16,250",19.12,100,0.62,633.89
0,,,,,
350,,,,,
150,,,,,
아모레G,"49,300",19.12,300,0.61,22.98
310,,,,,
360,,,,,
460,,,,,
아모레퍼시픽,"168,000",19.12,"1,000",0.6,28.71
"1,180",,,,,
"1,280",,,,,
"1,580",,,,,
금강공업우,"15,200",19.12,90,0.59,-20.11
110,,,,,
110,,,,,
110,,,,,
유한양행,"65,300",19.12,382,0.58,59.44
365,,,,,
349,,,,,
334,,,,,
