종목명,현재가,기준월,배당금,수익률(%),배당성향(%)
넥센타이어1우B,"2,335",19.12,110,4.71,9.14
105,,,,,
105,,,,,
105,,,,,
현대차우,"86,000",19.12,"4,050",4.71,35.35
"4,050",,,,,
"4,050",,,,,
"4,050",,,,,
동성코퍼레이션,"4,250",19.12,200,4.71,156.15
200,,,,,
200,,,,,
200,,,,,
삼호개발,"4,050",19.12,190,4.69,20.92
160,,,,,
160,,,,,
130,,,,,
삼원강재,"2,455",19.12,115,4.68,43.96
115,,,,,
115,,,,,
125,,,,,
대성에너지,"5,340",19.12,250,4.68,52.75
250,,,,,
250,,,,,
250,,,,,
코오롱인더우,"20,550",19.12,950,4.62,82.84
950,,,,,
"1,150",,,,,
"1,150",,,,,
디씨엠,"10,900",19.12,500,4.59,19.79
250,,,,,
460,,,,,
400,,,,,
경동도시가스,"19,150",19.12,875,4.57,21
700,,,,,
600,,,,,
-,,,,,
삼성화재,"186,500",19.12,"8,500",4.56,56.2
"11,500",,,,,
"10,000",,,,,
"6,100",,,,,
텔코웨어,"12,100",19.12,550,4.55,72.25
650,,,,,
580,,,,,
500,,,,,
현대차2우B,"90,700",19.12,"4,100",4.52,35.35
"4,100",,,,,
"4,100",,,,,
"4,100",,,,,
신도리코,"22,150",19.12,"1,000",4.51,67.87
"1,600",,,,,
"1,650",,,,,
"1,500",,,,,
휴켐스,"22,650",19.12,"1,000",4.41,54.54
"1,200",,,,,
"1,500",,,,,
500,,,,,
노루홀딩스,"9,070",19.12,400,4.41,91.14
450,,,,,
450,,,,,
450,,,,,
휴스틸,"6,860",19.12,300,4.37,-18.23
400,,,,,
500,,,,,
500,,,,,
삼성생명,"60,800",19.12,"2,650",4.36,48.69
"2,650",,,,,
"2,000",,,,,
"1,200",,,,,
대교,"3,930",19.12,170,4.33,87.81
210,,,,,
240,,,,,
240,,,,,
AK홀딩스,"17,450",19.12,750,4.3,34.6
750,,,,,
650,,,,,
550,,,,,
삼양홀딩스우,"48,100",19.12,"2,050",4.26,50.19
"2,050",,,,,
"2,050",,,,,
"2,050",,,,,
평화홀딩스,"3,550",19.12,150,4.22,-15.08
150,,,,,
150,,,,,
150,,,,,
한세예스24홀딩스,"5,930",19.12,250,4.22,48.71
220,,,,,
220,,,,,
160,,,,,
한솔제지,"14,250",19.12,600,4.21,35.65
600,,,,,
600,,,,,
700,,,,,
LG우,"53,700",19.12,"2,250",4.19,35.82
"2,050",,,,,
"1,350",,,,,
"1,350",,,,,
한국철강,"4,780",19.12,200,4.18,48.24
200,,,,,
180,,,,,
180,,,,,
강원랜드,"21,550",19.12,900,4.18,54.52
900,,,,,
990,,,,,
990,,,,,
대덕1우,"7,310",19.12,305,4.17,32.33
305,,,,,
0,,,,,
0,,,,,
미래에셋생명,"4,090",19.12,170,4.16,35.2
170,,,,,
170,,,,,
55,,,,,
현대상사,"14,450",19.12,600,4.15,46.44
600,,,,,
600,,,,,
500,,,,,
SK텔레콤,"241,500",19.12,"10,000",4.14,82.04
"10,000",,,,,
"10,000",,,,,
"10,000",,,,,
MH에탄올,"8,500",19.12,350,4.12,-433.82
350,,,,,
350,,,,,
300,,,,,
두산밥캣,"29,150",19.12,"1,200",4.12,44.21
900,,,,,
800,,,,,
700,,,,,
화성산업,"12,150",19.12,500,4.11,78.92
930,,,,,
890,,,,,
680,,,,,
한양증권,"8,580",19.12,350,4.08,20.96
250,,,,,
350,,,,,
350,,,,,
그린케미칼,"3,965",19.12,162,4.08,68.31
133,,,,,
342,,,,,
133,,,,,
CJ우,"46,700",19.12,"1,900",4.07,23.26
523,,,,,
523,,,,,
488,,,,,
GS건설,"24,650",19.12,"1,000",4.06,17.91
"1,000",,,,,
300,,,,,
0,,,,,
조흥,"148,000",19.12,"6,000",4.05,45.89
"6,000",,,,,
"6,000",,,,,
"5,000",,,,,
화천기공,"30,850",19.12,"1,250",4.05,36.89
"1,250",,,,,
"1,250",,,,,
"1,250",,,,,
동방아그로,"6,270",19.12,250,3.99,45.4
250,,,,,
250,,,,,
250,,,,,
한국금융지주,"73,200",19.12,"2,900",3.96,20.08
"1,800",,,,,
"1,600",,,,,
800,,,,,
기신정기,"3,800",20.03,150,3.95,50.42
150,,,,,
150,,,,,
150,,,,,
KTcs,"2,030",19.12,80,3.94,45.01
90,,,,,
80,,,,,
80,,,,,
롯데푸드,"306,000",19.12,"12,000",3.92,29.1
"15,000",,,,,
"22,000",,,,,
"6,000",,,,,
상신브레이크,"2,570",19.12,100,3.89,47.72
100,,,,,
170,,,,,
160,,,,,
노루페인트,"7,120",19.12,275,3.86,29.79
250,,,,,
250,,,,,
200,,,,,
조광페인트,"5,180",19.12,200,3.86,-90.79
100,,,,,
250,,,,,
400,,,,,
제일기획,"21,250",19.12,820,3.86,60.16
770,,,,,
760,,,,,
300,,,,,
비상교육,"6,510",19.12,250,3.84,27.15
200,,,,,
350,,,,,
330,,,,,
동성화학,"15,700",19.12,600,3.82,23.84
500,,,,,
300,,,,,
500,,,,,
HDC아이콘트롤스,"9,170",19.12,350,3.82,-97.7
350,,,,,
250,,,,,
150,,,,,
한일현대시멘트,"26,350",19.12,"1,000",3.8,40.71
800,,,,,
0,,,,,
0,,,,,
스카이라이프,"9,270",19.12,350,3.78,30.51
350,,,,,
350,,,,,
415,,,,,
현대해상,"23,350",19.12,880,3.77,26.07
"1,130",,,,,
"1,500",,,,,
"1,350",,,,,
삼천리,"79,800",19.12,"3,000",3.76,28.26
"3,000",,,,,
"3,000",,,,,
"2,500",,,,,
롯데지주,"29,400",19.12,"1,100",3.74,-21.89
800,,,,,
0,,,,,
452,,,,,
진도,"2,685",19.12,100,3.72,-45.64
150,,,,,
270,,,,,
200,,,,,
KTis,"2,430",19.12,90,3.7,33.08
80,,,,,
80,,,,,
80,,,,,
신세계건설,"21,700",19.12,800,3.69,18.27
750,,,,,
750,,,,,
500,,,,,
효성화학,"136,500",19.12,"5,000",3.66,18.09
"1,000",,,,,
-,,,,,
-,,,,,
삼양패키징,"20,600",19.12,750,3.64,37.55
500,,,,,
0,,,,,
0,,,,,
대한제당,"18,550",19.12,675,3.64,42.15
550,,,,,
550,,,,,
650,,,,,
LF,"13,750",19.12,500,3.64,21.61
500,,,,,
500,,,,,
500,,,,,
고려아연,"386,000",19.12,"14,000",3.63,39.09
"11,000",,,,,
"10,000",,,,,
"8,500",,,,,
삼익악기,"1,390",19.12,50,3.6,30.6
50,,,,,
50,,,,,
50,,,,,
KCC,"153,000",19.12,"5,500",3.6,-24.3
"9,000",,,,,
"9,000",,,,,
"9,000",,,,,
이수화학,"10,100",19.12,362,3.59,-79.05
362,,,,,
453,,,,,
453,,,,,
동양,"1,120",19.12,40,3.57,"-2,094.47"
50,,,,,
50,,,,,
50,,,,,
대상우,"17,300",19.12,610,3.53,20.17
560,,,,,
510,,,,,
410,,,,,
퍼시스,"28,550",19.12,"1,000",3.5,27.77
"1,000",,,,,
800,,,,,
700,,,,,
새론오토모티브,"4,020",19.12,140,3.48,-32.31
150,,,,,
150,,,,,
190,,,,,
하이트진로2우B,"21,550",19.12,750,3.48,-115.48
850,,,,,
850,,,,,
950,,,,,
코오롱우,"15,850",19.12,550,3.47,-40.51
