종목명,현재가,기준월,배당금,수익률(%),배당성향(%)
삼양옵틱스,"9,290",19.12,"1,000",10.76,74.18
"1,100"
"1,300"
"1,200"
유아이엘,"3,970",19.12,400,10.08,101.34
400
500
350
한국기업평가,"94,000",19.12,"8,618",9.17,188.86
"2,360"
"2,250"
"1,947"
씨엠에스에듀,"5,800",19.12,425,7.33,128.94
260
300
300
정상제이엘에스,"6,090",19.12,430,7.06,74.30
430
430
430
푸른저축은행,"8,050",19.12,550,6.83,27.46
550
550
500
에스에이엠티,"2,120",19.12,140,6.60,36.87
130
110
100
에스텍,"9,230",19.12,600,6.50,29.34
500
500
500
네오티스,"3,885",19.12,250,6.43,192.99
250
350
350
코엔텍,"9,110",19.12,540,5.93,111.43
400
25
25
이베스트투자증권,"5,900",19.12,345,5.85,33.74
485
485
515
인터엠,"1,765",19.09,100,5.67,-27.71
120
120
120
한국컴퓨터,"2,405",19.12,130,5.41,26.20
100
120
130
일진파워,"5,550",19.12,300,5.41,36.06
330
220
200
에스티오,"2,250",19.12,120,5.33,44.49
95
14
13
파커스,"2,825",19.12,150,5.31,-55.71
300
0
0
레드캡투어,"15,350",19.12,800,5.21,29.64
800
600
600
오리콤,"4,370",19.12,220,5.03,42.04
220
220
220
GS홈쇼핑,"129,400",19.12,"6,500",5.02,35.40
"7,000"
"6,500"
"7,000"
플랜티넷,"5,050",19.12,250,4.95,82.59
150
150
150
한일네트웍스,"4,650",19.12,230,4.95,39.05
200
70
0
서호전기,"24,550",19.12,"1,200",4.89,40.29
500
900
700
경남스틸,"1,845",19.12,90,4.88,48.51
70
70
30
인포바인,"18,500",19.12,900,4.86,21.77
950
"1,080"
900
한국캐피탈,514,19.12,25,4.86,31.05
18
12
18
피제이메탈,"2,070",19.12,100,4.83,117.42
100
100
90
케이씨에스,"4,625",19.12,220,4.76,93.32
200
90
70
코텍,"8,540",19.12,400,4.68,19.34
400
300
300
디지털대성,"6,410",19.12,300,4.68,39.01
200
200
160
대창스틸,"2,150",19.12,100,4.65,-284.72
100
100
126
창해에탄올,"13,200",19.12,600,4.55,21.69
600
600
500
서원인텍,"6,600",19.12,300,4.55,44.64
300
300
660
금화피에스시,"28,650",19.12,"1,300",4.54,28.18
"1,300"
900
900
청담러닝,"22,150",19.12,"1,000",4.51,85.01
800
800
800
케어젠,"62,300",19.12,"2,800",4.49,99.31
600
"1,200"
"1,000"
고려신용정보,"5,600",19.12,250,4.46,52.49
220
200
175
진로발효,"30,350",19.12,"1,350",4.45,63.24
"1,200"
"1,100"
"1,210"
빅솔론,"4,285",19.12,190,4.43,33.22
180
150
159
동원개발,"3,990",19.12,170,4.26,18.23
185
160
140
케이디켐,"11,850",19.12,500,4.22,26.01
500
500
550
